key,value
"Mean Years of Schooling, female (years) (1994)",6.657647
"Mean Years of Schooling, female (years) (1995)",6.727059
"Mean Years of Schooling, female (years) (1996)",6.796471
"Mean Years of Schooling, female (years) (1997)",6.865882
"Mean Years of Schooling, female (years) (1998)",6.935294
"Mean Years of Schooling, female (years) (1999)",7.004706
"Mean Years of Schooling, female (years) (2000)",7.074118
"Mean Years of Schooling, female (years) (2001)",7.143529
"Mean Years of Schooling, female (years) (2002)",7.212941
"Mean Years of Schooling, female (years) (2003)",7.282353
"Mean Years of Schooling, female (years) (2004)",7.351765
"Mean Years of Schooling, female (years) (2005)",7.421176
"Mean Years of Schooling, female (years) (2006)",7.490588
"Mean Years of Schooling, female (years) (2007)",7.56
"Mean Years of Schooling, female (years) (2008)",7.6
"Mean Years of Schooling, female (years) (2009)",7.61
"Mean Years of Schooling, female (years) (2010)",7.71
"Mean Years of Schooling, female (years) (2011)",7.77
"Mean Years of Schooling, female (years) (2012)",7.97
"Mean Years of Schooling, female (years) (2013)",8.18
"Mean Years of Schooling, female (years) (2014)",8.27
"Mean Years of Schooling, female (years) (2015)",8.63
"Mean Years of Schooling, female (years) (2016)",8.64
"Mean Years of Schooling, female (years) (2017)",8.71
"Mean Years of Schooling, female (years) (2018)",8.74
"Mean Years of Schooling, female (years) (2019)",8.77
"Mean Years of Schooling, female (years) (2020)",8.8
"Mean Years of Schooling, female (years) (2021)",9.14
"Mean Years of Schooling, female (years) (2022)",8.92
"Mean Years of Schooling, female (years) (2023)",8.92
"Gross National Income Per Capita, female (2021 PPP$) (1990)",5019.338097
"Gross National Income Per Capita, female (2021 PPP$) (1991)",5589.59322
"Gross National Income Per Capita, female (2021 PPP$) (1992)",5895.676116
"Gross National Income Per Capita, female (2021 PPP$) (1993)",5818.947154
"Gross National Income Per Capita, female (2021 PPP$) (1994)",5884.951031
"Gross National Income Per Capita, female (2021 PPP$) (1995)",6000.43961
"Gross National Income Per Capita, female (2021 PPP$) (1996)",5980.221723
"Gross National Income Per Capita, female (2021 PPP$) (1997)",6105.556591
"Gross National Income Per Capita, female (2021 PPP$) (1998)",6518.324333
"Gross National Income Per Capita, female (2021 PPP$) (1999)",5913.147675
"Gross National Income Per Capita, female (2021 PPP$) (2000)",5071.301298
"Gross National Income Per Capita, female (2021 PPP$) (2001)",6376.557772
"Gross National Income Per Capita, female (2021 PPP$) (2002)",6283.473109
"Gross National Income Per Capita, female (2021 PPP$) (2003)",6656.316625
"Gross National Income Per Capita, female (2021 PPP$) (2004)",7416.303769
"Gross National Income Per Capita, female (2021 PPP$) (2005)",7523.096422
"Gross National Income Per Capita, female (2021 PPP$) (2006)",7978.899122
"Gross National Income Per Capita, female (2021 PPP$) (2007)",7969.620353
"Gross National Income Per Capita, female (2021 PPP$) (2008)",8489.470299
"Gross National Income Per Capita, female (2021 PPP$) (2009)",8574.297471
"Gross National Income Per Capita, female (2021 PPP$) (2010)",8841.227056
"Gross National Income Per Capita, female (2021 PPP$) (2011)",9622.77377
"Gross National Income Per Capita, female (2021 PPP$) (2012)",10312.57421
"Gross National Income Per Capita, female (2021 PPP$) (2013)",10816.96931
"Gross National Income Per Capita, female (2021 PPP$) (2014)",11059.88838
"Gross National Income Per Capita, female (2021 PPP$) (2015)",11209.34629
"Gross National Income Per Capita, female (2021 PPP$) (2016)",11307.79413
"Gross National Income Per Capita, female (2021 PPP$) (2017)",11843.59002
"Gross National Income Per Capita, female (2021 PPP$) (2018)",11596.38078
"Gross National Income Per Capita, female (2021 PPP$) (2019)",11564.8517
"Gross National Income Per Capita, female (2021 PPP$) (2020)",10801.40242
"Gross National Income Per Capita, female (2021 PPP$) (2021)",11555.63199
"Gross National Income Per Capita, female (2021 PPP$) (2022)",11891.27679
"Gross National Income Per Capita, female (2021 PPP$) (2023)",12333.11983
HDI male (1990),
HDI male (1991),
HDI male (1992),
HDI male (1993),
HDI male (1994),
HDI male (1995),
HDI male (1996),
HDI male (1997),
HDI male (1998),
HDI male (1999),
HDI male (2000),
HDI male (2001),
HDI male (2002),
HDI male (2003),
HDI male (2004),
HDI male (2005),
HDI male (2006),
HDI male (2007),
HDI male (2008),
HDI male (2009),
HDI male (2010),0.7468
HDI male (2011),0.75035
HDI male (2012),0.755743
HDI male (2013),0.763625
HDI male (2014),0.767975
HDI male (2015),0.77136
HDI male (2016),0.767443
HDI male (2017),0.769189
HDI male (2018),0.771195
HDI male (2019),0.767747
HDI male (2020),0.736046
HDI male (2021),0.751448
HDI male (2022),0.773987
HDI male (2023),0.777346
"Life Expectancy at Birth, male (years) (1990)",65.597
"Life Expectancy at Birth, male (years) (1991)",66.049
"Life Expectancy at Birth, male (years) (1992)",66.438
"Life Expectancy at Birth, male (years) (1993)",66.983
"Life Expectancy at Birth, male (years) (1994)",67.713
"Life Expectancy at Birth, male (years) (1995)",68.06
"Life Expectancy at Birth, male (years) (1996)",68.571
"Life Expectancy at Birth, male (years) (1997)",68.728
"Life Expectancy at Birth, male (years) (1998)",68.821
"Life Expectancy at Birth, male (years) (1999)",68.833
"Life Expectancy at Birth, male (years) (2000)",69.083
"Life Expectancy at Birth, male (years) (2001)",69.536
"Life Expectancy at Birth, male (years) (2002)",70.113
"Life Expectancy at Birth, male (years) (2003)",70.536
"Life Expectancy at Birth, male (years) (2004)",70.711
"Life Expectancy at Birth, male (years) (2005)",70.764
"Life Expectancy at Birth, male (years) (2006)",70.878
"Life Expectancy at Birth, male (years) (2007)",71.109
"Life Expectancy at Birth, male (years) (2008)",71.553
"Life Expectancy at Birth, male (years) (2009)",71.781
"Life Expectancy at Birth, male (years) (2010)",72.152
"Life Expectancy at Birth, male (years) (2011)",72.276
"Life Expectancy at Birth, male (years) (2012)",72.738
"Life Expectancy at Birth, male (years) (2013)",73.245
"Life Expectancy at Birth, male (years) (2014)",73.658
"Life Expectancy at Birth, male (years) (2015)",73.816
"Life Expectancy at Birth, male (years) (2016)",73.751
"Life Expectancy at Birth, male (years) (2017)",73.862
"Life Expectancy at Birth, male (years) (2018)",74.618
"Life Expectancy at Birth, male (years) (2019)",74.61
"Life Expectancy at Birth, male (years) (2020)",68.607
"Life Expectancy at Birth, male (years) (2021)",69.692
"Life Expectancy at Birth, male (years) (2022)",73.74
"Life Expectancy at Birth, male (years) (2023)",74.664
"Expected Years of Schooling, male (years) (1990)",
"Expected Years of Schooling, male (years) (1991)",
"Expected Years of Schooling, male (years) (1992)",
"Expected Years of Schooling, male (years) (1993)",
"Expected Years of Schooling, male (years) (1994)",
"Expected Years of Schooling, male (years) (1995)",
"Expected Years of Schooling, male (years) (1996)",
"Expected Years of Schooling, male (years) (1997)",
"Expected Years of Schooling, male (years) (1998)",
"Expected Years of Schooling, male (years) (1999)",
"Expected Years of Schooling, male (years) (2000)",
"Expected Years of Schooling, male (years) (2001)",
"Expected Years of Schooling, male (years) (2002)",
"Expected Years of Schooling, male (years) (2003)",
"Expected Years of Schooling, male (years) (2004)",
"Expected Years of Schooling, male (years) (2005)",
"Expected Years of Schooling, male (years) (2006)",
"Expected Years of Schooling, male (years) (2007)",
"Expected Years of Schooling, male (years) (2008)",
"Expected Years of Schooling, male (years) (2009)",
"Expected Years of Schooling, male (years) (2010)",14.20293
"Expected Years of Schooling, male (years) (2011)",14.184599
"Expected Years of Schooling, male (years) (2012)",14.16629
"Expected Years of Schooling, male (years) (2013)",14.209463
"Expected Years of Schooling, male (years) (2014)",14.252637
"Expected Years of Schooling, male (years) (2015)",14.29581
"Expected Years of Schooling, male (years) (2016)",14.18496
"Expected Years of Schooling, male (years) (2017)",14.07411
"Expected Years of Schooling, male (years) (2018)",13.96326
"Expected Years of Schooling, male (years) (2019)",13.78312
"Expected Years of Schooling, male (years) (2020)",14.16426
"Expected Years of Schooling, male (years) (2021)",14.259795
"Expected Years of Schooling, male (years) (2022)",14.35533
"Expected Years of Schooling, male (years) (2023)",14.35533
"Mean Years of Schooling, male (years) (1990)",7.13
"Mean Years of Schooling, male (years) (1991)",7.174706
"Mean Years of Schooling, male (years) (1992)",7.219412
"Mean Years of Schooling, male (years) (1993)",7.264118
"Mean Years of Schooling, male (years) (1994)",7.308824
"Mean Years of Schooling, male (years) (1995)",7.353529
"Mean Years of Schooling, male (years) (1996)",7.398235
"Mean Years of Schooling, male (years) (1997)",7.442941
"Mean Years of Schooling, male (years) (1998)",7.487647
"Mean Years of Schooling, male (years) (1999)",7.532353
"Mean Years of Schooling, male (years) (2000)",7.577059
"Mean Years of Schooling, male (years) (2001)",7.621765
"Mean Years of Schooling, male (years) (2002)",7.666471
"Mean Years of Schooling, male (years) (2003)",7.711176
"Mean Years of Schooling, male (years) (2004)",7.755882
"Mean Years of Schooling, male (years) (2005)",7.800588
"Mean Years of Schooling, male (years) (2006)",7.845294
"Mean Years of Schooling, male (years) (2007)",7.89
"Mean Years of Schooling, male (years) (2008)",7.87
"Mean Years of Schooling, male (years) (2009)",7.89
"Mean Years of Schooling, male (years) (2010)",8.01
"Mean Years of Schooling, male (years) (2011)",8.06
"Mean Years of Schooling, male (years) (2012)",8.24
"Mean Years of Schooling, male (years) (2013)",8.41
"Mean Years of Schooling, male (years) (2014)",8.46
"Mean Years of Schooling, male (years) (2015)",8.78
"Mean Years of Schooling, male (years) (2016)",8.75
"Mean Years of Schooling, male (years) (2017)",8.82
"Mean Years of Schooling, male (years) (2018)",8.826667
"Mean Years of Schooling, male (years) (2019)",8.833333
"Mean Years of Schooling, male (years) (2020)",8.84
"Mean Years of Schooling, male (years) (2021)",9.08
"Mean Years of Schooling, male (years) (2022)",9.03
"Mean Years of Schooling, male (years) (2023)",9.03
"Gross National Income Per Capita, male (2021 PPP$) (1990)",11451.07833
"Gross National Income Per Capita, male (2021 PPP$) (1991)",11513.6242
"Gross National Income Per Capita, male (2021 PPP$) (1992)",11499.78262
"Gross National Income Per Capita, male (2021 PPP$) (1993)",11804.29773
"Gross National Income Per Capita, male (2021 PPP$) (1994)",12228.07245
"Gross National Income Per Capita, male (2021 PPP$) (1995)",12257.29403
"Gross National Income Per Capita, male (2021 PPP$) (1996)",12187.06764
"Gross National Income Per Capita, male (2021 PPP$) (1997)",12601.2736
"Gross National Income Per Capita, male (2021 PPP$) (1998)",12365.29777
"Gross National Income Per Capita, male (2021 PPP$) (1999)",11250.41914
"Gross National Income Per Capita, male (2021 PPP$) (2000)",11576.08074
"Gross National Income Per Capita, male (2021 PPP$) (2001)",11396.53426
"Gross National Income Per Capita, male (2021 PPP$) (2002)",12267.14076
"Gross National Income Per Capita, male (2021 PPP$) (2003)",12076.61932
"Gross National Income Per Capita, male (2021 PPP$) (2004)",12225.04546
"Gross National Income Per Capita, male (2021 PPP$) (2005)",12939.23776
"Gross National Income Per Capita, male (2021 PPP$) (2006)",13083.17052
"Gross National Income Per Capita, male (2021 PPP$) (2007)",13112.35188
"Gross National Income Per Capita, male (2021 PPP$) (2008)",13957.90285
"Gross National Income Per Capita, male (2021 PPP$) (2009)",13829.00284
"Gross National Income Per Capita, male (2021 PPP$) (2010)",14219.54494
"Gross National Income Per Capita, male (2021 PPP$) (2011)",14961.61814
"Gross National Income Per Capita, male (2021 PPP$) (2012)",15329.14921
"Gross National Income Per Capita, male (2021 PPP$) (2013)",16270.16273
"Gross National Income Per Capita, male (2021 PPP$) (2014)",16726.91672
"Gross National Income Per Capita, male (2021 PPP$) (2015)",16142.6351
"Gross National Income Per Capita, male (2021 PPP$) (2016)",15487.33038
"Gross National Income Per Capita, male (2021 PPP$) (2017)",15958.96587
"Gross National Income Per Capita, male (2021 PPP$) (2018)",15851.91764
"Gross National Income Per Capita, male (2021 PPP$) (2019)",15357.97821
"Gross National Income Per Capita, male (2021 PPP$) (2020)",13152.29951
"Gross National Income Per Capita, male (2021 PPP$) (2021)",14937.88323
"Gross National Income Per Capita, male (2021 PPP$) (2022)",15912.86693
"Gross National Income Per Capita, male (2021 PPP$) (2023)",15648.9283
Inequality-adjusted Human Development Index (value) (2010),0.577
Inequality-adjusted Human Development Index (value) (2011),0.596
Inequality-adjusted Human Development Index (value) (2012),0.598
Inequality-adjusted Human Development Index (value) (2013),0.607
Inequality-adjusted Human Development Index (value) (2014),0.621
Inequality-adjusted Human Development Index (value) (2015),0.622
Inequality-adjusted Human Development Index (value) (2016),0.624
Inequality-adjusted Human Development Index (value) (2017),0.628
Inequality-adjusted Human Development Index (value) (2018),0.627
Inequality-adjusted Human Development Index (value) (2019),0.627
Inequality-adjusted Human Development Index (value) (2020),0.605
Inequality-adjusted Human Development Index (value) (2021),0.62
Inequality-adjusted Human Development Index (value) (2022),0.635
Inequality-adjusted Human Development Index (value) (2023),0.64
Coefficient of human inequality (2010),21.157179
Coefficient of human inequality (2011),19.432954
Coefficient of human inequality (2012),19.767881
Coefficient of human inequality (2013),19.169722
Coefficient of human inequality (2014),17.851367
Coefficient of human inequality (2015),18.089624
Coefficient of human inequality (2016),17.659261
Coefficient of human inequality (2017),17.324453
Coefficient of human inequality (2018),17.721967
Coefficient of human inequality (2019),17.494476
Coefficient of human inequality (2020),17.557512
Coefficient of human inequality (2021),17.137497
Coefficient of human inequality (2022),17.205167
Coefficient of human inequality (2023),17.02203
Overall loss (%) (2010),21.709634
Overall loss (%) (2011),19.784657
Overall loss (%) (2012),20.266667
Overall loss (%) (2013),19.602649
Overall loss (%) (2014),18.289474
Overall loss (%) (2015),18.586387
Overall loss (%) (2016),18.002628
Overall loss (%) (2017),17.801047
Overall loss (%) (2018),18.252934
Overall loss (%) (2019),18.039216
Overall loss (%) (2020),18.243243
Overall loss (%) (2021),17.662683
Overall loss (%) (2022),17.852523
Overall loss (%) (2023),17.631918
Inequality in life expectancy (2010),12.074652
Inequality in life expectancy (2011),11.6004
Inequality in life expectancy (2012),11.180182
Inequality in life expectancy (2013),10.750683
Inequality in life expectancy (2014),10.360796
Inequality in life expectancy (2015),10.069103
Inequality in life expectancy (2016),9.944413
Inequality in life expectancy (2017),9.434685
Inequality in life expectancy (2018),9.380056
Inequality in life expectancy (2019),9.204726
Inequality in life expectancy (2020),8.923759
Inequality in life expectancy (2021),8.99706
Inequality in life expectancy (2022),8.596674
Inequality in life expectancy (2023),8.357656
Inequality in eduation (2010),17.460904
Inequality in eduation (2011),16.382715
Inequality in eduation (2012),16.421151
Inequality in eduation (2013),15.453707
Inequality in eduation (2014),14.181006
Inequality in eduation (2015),13.805485
Inequality in eduation (2016),13.581602
Inequality in eduation (2017),13.765723
Inequality in eduation (2018),13.89605
Inequality in eduation (2019),13.373901
Inequality in eduation (2020),12.593371
Inequality in eduation (2021),11.808049
Inequality in eduation (2022),12.411446
Inequality in eduation (2023),12.101053
Inequality in income (2010),33.935982
